============================================================
  PC-S³ 3-Seed Statistical Validation
  Modes: ['vanilla', 'concat', 'concat_shuffled']
  Seeds: [42, 123, 777]
  Epochs: 300 | Output: results/stats3seed/
  Total runs: 9
============================================================


############################################################
# [1/9] vanilla  seed=42
############################################################
/home/lab/miniconda3/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Device: cuda (NVIDIA RTX PRO 6000 Blackwell Workstation Edition)

============================================================
  PC-S³ Step 2 + Aug: VANILLA
  Params: 6,549,572  |  d=160  L=8  patch=4
  epochs=300  batch=128  wd=0.05
  Aug: RandAugment(N=2,M=9) + RandomErasing(0.25)
============================================================
  Ep 147 | lr 1.6e-04 | train 0.3699 acc 0.893 | test 1.5503 acc 0.6488
  Ep 148 | lr 1.6e-04 | train 0.3624 acc 0.895 | test 1.5389 acc 0.6514
  Ep 149 | lr 1.6e-04 | train 0.3576 acc 0.897 | test 1.5373 acc 0.6542 ★
  Ep 150 | lr 1.6e-04 | train 0.3643 acc 0.894 | test 1.5662 acc 0.6485
  Ep 151 | lr 1.6e-04 | train 0.3537 acc 0.899 | test 1.5601 acc 0.6486
  Ep 152 | lr 1.5e-04 | train 0.3513 acc 0.899 | test 1.5618 acc 0.6524
  Ep 153 | lr 1.5e-04 | train 0.3443 acc 0.901 | test 1.5620 acc 0.6484
  Ep 154 | lr 1.5e-04 | train 0.3491 acc 0.898 | test 1.5445 acc 0.6535
  Ep 155 | lr 1.5e-04 | train 0.3456 acc 0.901 | test 1.5601 acc 0.6489
  Ep 156 | lr 1.5e-04 | train 0.3452 acc 0.901 | test 1.5542 acc 0.6490
  Ep 157 | lr 1.5e-04 | train 0.3367 acc 0.904 | test 1.5730 acc 0.6477
  Ep 158 | lr 1.5e-04 | train 0.3341 acc 0.904 | test 1.5491 acc 0.6520
  Ep 159 | lr 1.4e-04 | train 0.3236 acc 0.908 | test 1.5534 acc 0.6525
  Ep 160 | lr 1.4e-04 | train 0.3245 acc 0.907 | test 1.5964 acc 0.6476
  Ep 161 | lr 1.4e-04 | train 0.3199 acc 0.909 | test 1.5577 acc 0.6538
  Ep 162 | lr 1.4e-04 | train 0.3191 acc 0.908 | test 1.5572 acc 0.6551 ★
  Ep 163 | lr 1.4e-04 | train 0.3196 acc 0.909 | test 1.5469 acc 0.6544
  Ep 164 | lr 1.4e-04 | train 0.3202 acc 0.907 | test 1.5435 acc 0.6572 ★
  Ep 165 | lr 1.3e-04 | train 0.3094 acc 0.912 | test 1.5495 acc 0.6522
  Ep 166 | lr 1.3e-04 | train 0.3088 acc 0.910 | test 1.5500 acc 0.6543
  Ep 167 | lr 1.3e-04 | train 0.3175 acc 0.909 | test 1.5828 acc 0.6482
  Ep 168 | lr 1.3e-04 | train 0.3005 acc 0.914 | test 1.5730 acc 0.6564
  Ep 169 | lr 1.3e-04 | train 0.3018 acc 0.914 | test 1.5737 acc 0.6549
  Ep 170 | lr 1.3e-04 | train 0.3021 acc 0.914 | test 1.5634 acc 0.6522
  Ep 171 | lr 1.2e-04 | train 0.2992 acc 0.914 | test 1.5936 acc 0.6494
  Ep 172 | lr 1.2e-04 | train 0.2959 acc 0.916 | test 1.5846 acc 0.6523
  Ep 173 | lr 1.2e-04 | train 0.2917 acc 0.916 | test 1.5671 acc 0.6531
  Ep 174 | lr 1.2e-04 | train 0.2889 acc 0.917 | test 1.5890 acc 0.6534
  Ep 175 | lr 1.2e-04 | train 0.2907 acc 0.917 | test 1.5896 acc 0.6509
  Ep 176 | lr 1.2e-04 | train 0.2815 acc 0.921 | test 1.5768 acc 0.6499
  Ep 177 | lr 1.1e-04 | train 0.2894 acc 0.916 | test 1.5782 acc 0.6520
  Ep 178 | lr 1.1e-04 | train 0.2822 acc 0.919 | test 1.5918 acc 0.6501
  Ep 179 | lr 1.1e-04 | train 0.2758 acc 0.922 | test 1.5854 acc 0.6516
  Ep 180 | lr 1.1e-04 | train 0.2732 acc 0.921 | test 1.5689 acc 0.6555
  Ep 181 | lr 1.1e-04 | train 0.2771 acc 0.922 | test 1.5758 acc 0.6566
  Ep 182 | lr 1.1e-04 | train 0.2706 acc 0.924 | test 1.6207 acc 0.6529
  Ep 183 | lr 1.1e-04 | train 0.2692 acc 0.923 | test 1.6097 acc 0.6508
  Ep 184 | lr 1.0e-04 | train 0.2624 acc 0.924 | test 1.5939 acc 0.6542
  Ep 185 | lr 1.0e-04 | train 0.2609 acc 0.924 | test 1.5850 acc 0.6560
  Ep 186 | lr 1.0e-04 | train 0.2604 acc 0.926 | test 1.5687 acc 0.6541
  Ep 187 | lr 9.9e-05 | train 0.2537 acc 0.928 | test 1.5980 acc 0.6511
  Ep 188 | lr 9.8e-05 | train 0.2650 acc 0.925 | test 1.5885 acc 0.6584 ★
  Ep 189 | lr 9.6e-05 | train 0.2493 acc 0.929 | test 1.5968 acc 0.6589 ★
  Ep 190 | lr 9.4e-05 | train 0.2502 acc 0.928 | test 1.5832 acc 0.6571
  Ep 191 | lr 9.3e-05 | train 0.2515 acc 0.928 | test 1.5810 acc 0.6540
  Ep 192 | lr 9.1e-05 | train 0.2488 acc 0.928 | test 1.5766 acc 0.6589 ★
  Ep 193 | lr 9.0e-05 | train 0.2444 acc 0.930 | test 1.5925 acc 0.6574
  Ep 194 | lr 8.8e-05 | train 0.2439 acc 0.930 | test 1.5915 acc 0.6573
  Ep 195 | lr 8.7e-05 | train 0.2438 acc 0.930 | test 1.5915 acc 0.6540
  Ep 196 | lr 8.6e-05 | train 0.2383 acc 0.932 | test 1.5874 acc 0.6559
  Ep 197 | lr 8.4e-05 | train 0.2455 acc 0.930 | test 1.5832 acc 0.6594 ★
  Ep 198 | lr 8.3e-05 | train 0.2353 acc 0.933 | test 1.5869 acc 0.6549
  Ep 199 | lr 8.1e-05 | train 0.2319 acc 0.934 | test 1.5898 acc 0.6586
  Ep 200 | lr 8.0e-05 | train 0.2288 acc 0.934 | test 1.5710 acc 0.6572
  Ep 201 | lr 7.8e-05 | train 0.2320 acc 0.935 | test 1.5911 acc 0.6571
  Ep 202 | lr 7.7e-05 | train 0.2319 acc 0.934 | test 1.5808 acc 0.6595 ★
  Ep 203 | lr 7.5e-05 | train 0.2298 acc 0.934 | test 1.6029 acc 0.6562
  Ep 204 | lr 7.4e-05 | train 0.2253 acc 0.937 | test 1.5918 acc 0.6614 ★
  Ep 205 | lr 7.3e-05 | train 0.2240 acc 0.936 | test 1.5865 acc 0.6637 ★
  Ep 206 | lr 7.1e-05 | train 0.2247 acc 0.936 | test 1.5791 acc 0.6628
  Ep 207 | lr 7.0e-05 | train 0.2191 acc 0.939 | test 1.5902 acc 0.6601
  Ep 208 | lr 6.9e-05 | train 0.2150 acc 0.939 | test 1.5964 acc 0.6565
  Ep 209 | lr 6.7e-05 | train 0.2096 acc 0.941 | test 1.5818 acc 0.6620
  Ep 210 | lr 6.6e-05 | train 0.2113 acc 0.940 | test 1.5741 acc 0.6625
  Ep 211 | lr 6.4e-05 | train 0.2141 acc 0.940 | test 1.5781 acc 0.6616
  Ep 212 | lr 6.3e-05 | train 0.2067 acc 0.940 | test 1.5733 acc 0.6651 ★
  Ep 213 | lr 6.2e-05 | train 0.2073 acc 0.941 | test 1.5888 acc 0.6600
  Ep 214 | lr 6.1e-05 | train 0.2079 acc 0.941 | test 1.5921 acc 0.6625
  Ep 215 | lr 5.9e-05 | train 0.2088 acc 0.942 | test 1.5903 acc 0.6599
  Ep 216 | lr 5.8e-05 | train 0.2024 acc 0.944 | test 1.5736 acc 0.6617
  Ep 217 | lr 5.7e-05 | train 0.1993 acc 0.942 | test 1.5769 acc 0.6623
  Ep 218 | lr 5.5e-05 | train 0.2019 acc 0.943 | test 1.5737 acc 0.6637
  Ep 219 | lr 5.4e-05 | train 0.2039 acc 0.942 | test 1.5680 acc 0.6632
  Ep 220 | lr 5.3e-05 | train 0.1990 acc 0.944 | test 1.5721 acc 0.6626
  Ep 221 | lr 5.2e-05 | train 0.1941 acc 0.945 | test 1.5750 acc 0.6646
  Ep 222 | lr 5.0e-05 | train 0.1942 acc 0.945 | test 1.5655 acc 0.6655 ★
  Ep 223 | lr 4.9e-05 | train 0.1982 acc 0.944 | test 1.5624 acc 0.6652
  Ep 224 | lr 4.8e-05 | train 0.1881 acc 0.947 | test 1.5804 acc 0.6631
  Ep 225 | lr 4.7e-05 | train 0.1923 acc 0.945 | test 1.5721 acc 0.6678 ★
  Ep 226 | lr 4.6e-05 | train 0.1911 acc 0.946 | test 1.5836 acc 0.6625
  Ep 227 | lr 4.5e-05 | train 0.1892 acc 0.946 | test 1.5626 acc 0.6660
  Ep 228 | lr 4.3e-05 | train 0.1886 acc 0.947 | test 1.5768 acc 0.6650
  Ep 229 | lr 4.2e-05 | train 0.1869 acc 0.947 | test 1.5673 acc 0.6630
  Ep 230 | lr 4.1e-05 | train 0.1827 acc 0.948 | test 1.5655 acc 0.6622
  Ep 231 | lr 4.0e-05 | train 0.1798 acc 0.949 | test 1.5868 acc 0.6616
  Ep 232 | lr 3.9e-05 | train 0.1821 acc 0.949 | test 1.5776 acc 0.6669
  Ep 233 | lr 3.8e-05 | train 0.1824 acc 0.948 | test 1.5759 acc 0.6637
  Ep 234 | lr 3.7e-05 | train 0.1836 acc 0.948 | test 1.5847 acc 0.6637
  Ep 235 | lr 3.6e-05 | train 0.1708 acc 0.952 | test 1.5840 acc 0.6651
  Ep 236 | lr 3.5e-05 | train 0.1790 acc 0.949 | test 1.5745 acc 0.6683 ★
  Ep 237 | lr 3.4e-05 | train 0.1737 acc 0.951 | test 1.5757 acc 0.6671
  Ep 238 | lr 3.3e-05 | train 0.1709 acc 0.952 | test 1.5571 acc 0.6728 ★
  Ep 239 | lr 3.2e-05 | train 0.1742 acc 0.951 | test 1.5723 acc 0.6682
  Ep 240 | lr 3.1e-05 | train 0.1716 acc 0.952 | test 1.5723 acc 0.6681
  Ep 241 | lr 3.0e-05 | train 0.1734 acc 0.953 | test 1.5832 acc 0.6667
  Ep 242 | lr 2.9e-05 | train 0.1739 acc 0.950 | test 1.5830 acc 0.6663
  Ep 243 | lr 2.8e-05 | train 0.1663 acc 0.954 | test 1.5712 acc 0.6693
  Ep 244 | lr 2.7e-05 | train 0.1691 acc 0.953 | test 1.5811 acc 0.6697
  Ep 245 | lr 2.6e-05 | train 0.1642 acc 0.954 | test 1.5783 acc 0.6685
  Ep 246 | lr 2.5e-05 | train 0.1671 acc 0.952 | test 1.5766 acc 0.6672
  Ep 247 | lr 2.4e-05 | train 0.1676 acc 0.953 | test 1.5692 acc 0.6701
